PKNC_1,PKNC_2,PKNC_3,PKNC_4,PKNC_5,PKNC_6,PKNC_7,PKNC_8,PKNC_9,PKNC_10,PKNC_11,PKNC_12,PKNC_13,PKNC_14,PKNC_15,PKNC_16,PKNC_17,PKNC_18,PKNC_19,PKNC_20,PKNC_21
0.02853543,0.02853543,0,0.02853543,0,0.02853543,0.02853543,0.05707086,0.05707086,0,0.05707086,0.02853543,0,0.05707086,0.05707086,0.05707086,0.07633405,0.11119648,0.12360447,0.09815516,0.07707206
0,0.03279138,0.06558277,0.03279138,0.09837415,0,0,0.09837415,0.03279138,0.06558277,0,0,0,0.13116553,0.03279138,0,0.0725911,0.08696923,0.0882014,0.09258034,0.06941304
0,0,0.03096098,0.06192195,0.06192195,0.03096098,0.03096098,0.06192195,0,0.03096098,0.03096098,0.03096098,0.03096098,0.09288293,0.03096098,0.03096098,0.07560808,0.09101711,0.09737361,0.09287565,0.08582798
0,0.09898291,0,0,0.0329943,0,0,0.13197721,0.06598861,0.0329943,0.0329943,0,0,0.06598861,0.09898291,0.0329943,0.07829833,0.0882941,0.07510117,0.07577903,0.0886299
0,0.03069633,0.03069633,0.06139266,0.06139266,0,0.03069633,0.09208899,0.03069633,0.09208899,0,0,0.03069633,0.03069633,0.06139266,0,0.09057617,0.08977691,0.06909955,0.10164384,0.09636958
0,0,0.03065383,0.06130767,0.06130767,0.03065383,0.03065383,0.0919615,0,0.06130767,0,0,0.03065383,0.0919615,0.03065383,0.03065383,0.08686208,0.1028582,0.10478505,0.07021678,0.0835089
0,0.1009697,0,0,0.03365657,0,0,0.16828283,0.06731313,0.03365657,0.03365657,0,0,0.06731313,0.06731313,0.03365657,0.07422953,0.08774779,0.07153825,0.07610777,0.08455848
0.02785078,0.05570156,0.02785078,0,0.05570156,0.02785078,0,0.05570156,0,0.02785078,0.05570156,0.02785078,0.02785078,0.02785078,0.02785078,0.05570156,0.07706553,0.11751983,0.10729385,0.09351547,0.10329124
0,0.03372647,0.06745295,0.03372647,0.10117942,0.03372647,0,0.13490589,0.03372647,0.03372647,0,0,0,0.13490589,0,0,0.06980127,0.07797616,0.08616587,0.08673807,0.07224212
0.08883694,0.08883694,0.02961231,0,0.05922463,0.05922463,0.02961231,0.05922463,0.02961231,0.02961231,0,0,0.02961231,0.02961231,0,0,0.0717723,0.09415353,0.09425956,0.10138578,0.1054072
